"id","alter","beziehung","einkommen","jahr","tv_stunden"
179,76,"geschieden",NA,2000,2
180,44,"geschieden",12668,2000,8
181,45,"geschieden",78533,2000,5
182,34,"geschieden",93129,2014,3
183,57,"geschieden",NA,2008,2
184,44,"geschieden",80107,2014,0
185,66,"geschieden",NA,2000,8
186,53,"geschieden",33487,2014,2
187,41,"geschieden",91411,2014,2
188,31,"geschieden",6062,2014,2
189,32,"geschieden",34488,2000,1
190,43,"geschieden",82275,2000,1
191,41,"geschieden",29736,2008,2
192,59,"geschieden",NA,2014,2
193,62,"geschieden",83931,2008,3
194,33,"geschieden",17873,2000,2
195,41,"geschieden",20651,2008,3
196,45,"geschieden",39722,2000,3
197,55,"geschieden",NA,2014,0
198,31,"geschieden",86721,2000,2
199,39,"geschieden",18146,2000,0
200,27,"geschieden",82401,2000,2
201,66,"verwitwet",NA,2000,0
202,49,"verwitwet",NA,2000,4
203,81,"verwitwet",NA,2000,4
204,47,"verwitwet",NA,2000,4
205,84,"verwitwet",5389,2008,4
206,72,"verwitwet",217,2000,4
207,58,"verwitwet",98787,2014,2
208,53,"verwitwet",37371,2000,1
209,74,"verwitwet",8584,2014,3
210,89,"verwitwet",NA,2014,2
211,42,"verwitwet",63309,2008,4
212,67,"verwitwet",NA,2008,6
213,83,"verwitwet",NA,2014,4
214,75,"verwitwet",NA,2014,4
215,86,"verwitwet",NA,2014,0
216,83,"verwitwet",NA,2014,4
217,58,"verwitwet",NA,2014,4
218,53,"verwitwet",18801,2014,7
219,76,"verwitwet",NA,2014,5
220,79,"verwitwet",NA,2008,9
221,70,"verwitwet",NA,2000,1
222,84,"verwitwet",NA,2014,4
223,75,"verwitwet",10113,2014,3
224,80,"verwitwet",NA,2000,4
225,78,"verwitwet",NA,2000,4
226,70,"verwitwet",NA,2008,7
227,78,"verwitwet",NA,2000,0
228,89,"verwitwet",NA,2008,4
229,84,"verwitwet",NA,2000,4
230,67,"verwitwet",7384,2000,3
231,24,"verwitwet",10432,2000,4
232,80,"verwitwet",NA,2000,8
233,72,"verwitwet",NA,2000,4
234,89,"verwitwet",NA,2014,4
235,83,"verwitwet",NA,2000,4
236,75,"verwitwet",NA,2000,4
237,62,"verwitwet",6723,2000,4
238,83,"verwitwet",NA,2014,4
239,71,"verwitwet",NA,2008,25
240,76,"verwitwet",NA,2008,7
241,79,"verwitwet",NA,2000,8
242,82,"verwitwet",NA,2008,4
243,53,"verwitwet",16354,2000,2
244,76,"verwitwet",NA,2014,12
245,78,"verwitwet",NA,2014,3
246,31,"verwitwet",NA,2008,4
247,62,"verwitwet",NA,2014,5
248,75,"verwitwet",NA,2014,3
249,81,"verwitwet",NA,2008,4
250,77,"verwitwet",NA,2014,2
251,71,"verwitwet",20927,2014,2
252,57,"verwitwet",NA,2000,4
253,82,"verwitwet",NA,2008,7
254,82,"verwitwet",NA,2008,4
255,64,"verwitwet",NA,2000,3
256,74,"verwitwet",NA,2000,4
257,83,"verwitwet",NA,2000,6
258,70,"verwitwet",NA,2014,3
259,89,"verwitwet",NA,2014,1
260,79,"verwitwet",NA,2000,4
261,82,"verwitwet",NA,2014,2
262,84,"verwitwet",88052,2008,3
263,87,"verwitwet",NA,2000,10
264,81,"verwitwet",NA,2014,3
265,89,"verwitwet",7789,2008,7
266,80,"verwitwet",NA,2014,4
267,84,"verwitwet",NA,2000,2
268,67,"verwitwet",NA,2000,4
269,74,"verwitwet",NA,2008,4
270,61,"verwitwet",NA,2000,2
271,62,"verwitwet",NA,2008,4
272,81,"verwitwet",NA,2000,4
273,54,"verwitwet",66694,2008,4
274,47,"verwitwet",19863,2008,7
275,78,"verwitwet",NA,2014,8
276,85,"verwitwet",NA,2000,3
277,38,"verwitwet",9902,2000,4
278,43,"verwitwet",32155,2008,1
279,84,"verwitwet",NA,2000,2
280,76,"verwitwet",NA,2000,3
281,64,"verwitwet",78843,2000,4
282,79,"verwitwet",NA,2008,4
283,35,"verwitwet",91840,2008,4
284,78,"verwitwet",17146,2008,4
285,67,"verwitwet",NA,2014,4
286,77,"verwitwet",NA,2000,2
287,73,"verwitwet",NA,2000,4
288,89,"verwitwet",NA,2014,6
289,71,"verwitwet",96515,2014,2
290,57,"verwitwet",NA,2008,3
291,50,"verwitwet",NA,2014,3
292,89,"verwitwet",NA,2008,2
293,65,"verwitwet",6967,2000,0
294,89,"verwitwet",NA,2000,8
295,77,"verwitwet",NA,2014,3
296,59,"verwitwet",3436,2008,9
297,43,"verwitwet",NA,2000,3
298,67,"verwitwet",NA,2008,5
299,82,"verwitwet",NA,2000,4
300,87,"verwitwet",NA,2014,4
301,41,"verheiratet",NA,2008,3
302,80,"verheiratet",NA,2000,4
303,38,"verheiratet",16073,2008,6
304,59,"verheiratet",17509,2000,2
305,54,"verheiratet",NA,2000,4
306,53,"verheiratet",NA,2000,3
307,74,"verheiratet",NA,2014,12
308,53,"verheiratet",NA,2000,1
309,56,"verheiratet",20684,2014,3
310,68,"verheiratet",NA,2000,1
311,59,"verheiratet",20937,2000,4
312,57,"verheiratet",85203,2000,4
313,48,"verheiratet",52525,2000,0
314,44,"verheiratet",5623,2014,4
315,52,"verheiratet",81787,2000,1
316,59,"verheiratet",23600,2008,4
317,58,"verheiratet",56913,2014,3
318,47,"verheiratet",82855,2008,3
319,54,"verheiratet",14454,2008,5
320,64,"verheiratet",NA,2000,3
321,66,"verheiratet",NA,2008,9
322,47,"verheiratet",3655,2014,3
323,26,"verheiratet",NA,2008,3
324,28,"verheiratet",81575,2008,3
325,50,"verheiratet",NA,2014,3
326,26,"verheiratet",NA,2014,1
327,82,"verheiratet",NA,2008,3
328,56,"verheiratet",92955,2014,4
329,28,"verheiratet",62194,2000,1
330,43,"verheiratet",20054,2000,3
331,56,"verheiratet",15012,2014,2
332,80,"verheiratet",NA,2008,9
333,80,"verheiratet",NA,2014,3
334,24,"verheiratet",12178,2014,3
335,47,"verheiratet",302,2000,10
336,40,"verheiratet",7807,2008,3
337,30,"verheiratet",96498,2000,4
338,43,"verheiratet",NA,2014,6
339,26,"verheiratet",82865,2008,3
340,40,"verheiratet",9819,2000,1
341,36,"verheiratet",NA,2014,3
342,49,"verheiratet",NA,2014,2
343,46,"verheiratet",8748,2000,3
344,56,"verheiratet",NA,2000,2
345,44,"verheiratet",90806,2008,2
346,53,"verheiratet",54410,2000,1
347,50,"verheiratet",NA,2014,4
348,43,"verheiratet",90027,2014,3
349,59,"verheiratet",NA,2014,3
350,36,"verheiratet",62715,2000,3
351,77,"verheiratet",NA,2000,3
352,65,"verheiratet",6143,2008,3
353,59,"verheiratet",NA,2014,2
354,47,"verheiratet",59854,2014,3
355,58,"verheiratet",NA,2014,3
356,53,"verheiratet",NA,2014,6
357,43,"verheiratet",NA,2014,3
358,34,"verheiratet",17935,2000,3
359,66,"verheiratet",NA,2008,3
360,52,"verheiratet",40872,2000,3
361,25,"verheiratet",61560,2014,3
362,38,"verheiratet",65366,2014,1
363,35,"verheiratet",24692,2000,3
364,37,"verheiratet",21182,2014,3
365,48,"verheiratet",NA,2000,3
366,30,"verheiratet",73734,2008,2
367,40,"verheiratet",65177,2014,3
368,67,"verheiratet",NA,2014,4
369,41,"verheiratet",49679,2000,3
370,67,"verheiratet",NA,2008,4
371,32,"verheiratet",29705,2014,3
372,42,"verheiratet",76443,2000,2
373,32,"verheiratet",11722,2000,3
374,68,"verheiratet",NA,2000,3
375,60,"verheiratet",80480,2014,3
376,71,"verheiratet",NA,2014,3
377,44,"verheiratet",NA,2014,3
378,44,"verheiratet",6818,2000,3
379,47,"verheiratet",61196,2000,1
380,36,"verheiratet",11147,2000,3
381,22,"verheiratet",NA,2008,4
382,35,"verheiratet",47084,2008,3
383,70,"verheiratet",NA,2008,5
384,64,"verheiratet",12987,2008,7
385,40,"verheiratet",NA,2000,3
386,31,"verheiratet",NA,2014,3
387,57,"verheiratet",83936,2014,4
388,52,"verheiratet",NA,2008,3
389,54,"verheiratet",36471,2014,3
390,53,"verheiratet",NA,2008,3
391,37,"verheiratet",NA,2000,2
392,37,"verheiratet",47763,2000,3
393,49,"verheiratet",22228,2000,4
394,39,"verheiratet",NA,2014,2
395,59,"verheiratet",96735,2008,3
396,51,"verheiratet",67328,2000,4
397,27,"verheiratet",69695,2014,3
398,80,"verheiratet",NA,2014,3
399,50,"verheiratet",78141,2014,3
400,54,"verheiratet",NA,2014,6
401,41,"getrennt",60617,2014,3
402,26,"getrennt",24374,2000,2
403,45,"getrennt",6656,2000,1
404,33,"getrennt",48095,2014,0
405,50,"getrennt",96744,2014,3
406,28,"getrennt",18066,2014,2
407,56,"getrennt",NA,2008,3
408,49,"getrennt",NA,2008,1
409,39,"getrennt",17506,2000,4
410,75,"getrennt",NA,2008,5
411,40,"getrennt",24022,2000,0
412,49,"getrennt",26890,2000,1
413,48,"getrennt",NA,2000,3
414,38,"getrennt",86579,2000,1
415,46,"getrennt",740,2008,5
416,48,"getrennt",NA,2000,3
417,57,"getrennt",42934,2000,1
418,34,"getrennt",NA,2000,1
419,63,"getrennt",22456,2014,3
420,24,"getrennt",21211,2000,3
421,49,"getrennt",NA,2000,3
422,42,"getrennt",70455,2014,3
423,47,"getrennt",22834,2014,3
424,74,"getrennt",NA,2000,2
425,43,"getrennt",47006,2014,3
426,51,"getrennt",61988,2014,3
427,58,"getrennt",11892,2008,2
428,30,"getrennt",9481,2014,2
429,37,"getrennt",19456,2000,4
430,43,"getrennt",9409,2014,3
431,43,"getrennt",NA,2008,3
432,42,"getrennt",45677,2008,2
433,44,"getrennt",46379,2008,3
434,38,"getrennt",10395,2008,3
435,56,"getrennt",55558,2014,3
436,44,"getrennt",20425,2008,3
437,44,"getrennt",96982,2000,2
438,53,"getrennt",14048,2014,2
439,60,"getrennt",17795,2000,8
440,68,"getrennt",NA,2008,3
441,34,"getrennt",4459,2014,0
442,43,"getrennt",3252,2000,3
443,83,"getrennt",NA,2008,2
444,42,"getrennt",48174,2000,1
445,45,"getrennt",NA,2008,3
446,42,"getrennt",70608,2000,2
447,37,"getrennt",13742,2014,3
448,37,"getrennt",NA,2014,24
449,26,"getrennt",12707,2008,3
450,61,"getrennt",37569,2014,3
451,23,"getrennt",NA,2000,3
452,27,"getrennt",NA,2008,2
453,35,"getrennt",38251,2014,2
454,43,"getrennt",NA,2000,1
455,47,"getrennt",5218,2000,8
456,30,"getrennt",81056,2000,1
457,28,"getrennt",22603,2008,3
458,51,"getrennt",NA,2014,2
459,27,"getrennt",12655,2000,1
460,61,"getrennt",NA,2014,3
461,27,"getrennt",19294,2000,3
462,44,"getrennt",NA,2000,3
463,36,"getrennt",NA,2008,3
464,44,"getrennt",NA,2000,3
465,44,"getrennt",13621,2000,3
466,73,"getrennt",NA,2014,4
467,42,"getrennt",NA,2014,3
468,70,"getrennt",NA,2014,3
469,61,"getrennt",NA,2014,0
470,46,"getrennt",73220,2000,2
471,38,"getrennt",13246,2014,3
472,46,"getrennt",20035,2008,3
473,32,"getrennt",94334,2014,2
474,41,"getrennt",63534,2008,3
475,40,"getrennt",NA,2000,3
476,37,"getrennt",20558,2000,2
477,32,"getrennt",3975,2014,3
478,50,"getrennt",12398,2008,17
479,52,"getrennt",97359,2000,3
480,56,"getrennt",NA,2000,0
481,31,"getrennt",NA,2008,2
482,55,"getrennt",14063,2014,6
483,37,"getrennt",22585,2008,3
484,77,"getrennt",NA,2000,3
485,77,"getrennt",NA,2000,10
486,26,"getrennt",3508,2000,3
487,50,"getrennt",41370,2000,2
488,43,"getrennt",8796,2000,3
489,41,"getrennt",71405,2008,3
490,58,"getrennt",17234,2014,8
491,51,"getrennt",40776,2000,3
492,46,"getrennt",NA,2000,3
493,72,"getrennt",NA,2014,3
494,41,"getrennt",5318,2008,3
495,41,"getrennt",NA,2008,3
496,55,"getrennt",NA,2014,20
497,33,"getrennt",NA,2000,5
498,38,"getrennt",5334,2000,3
499,61,"getrennt",34792,2000,1
500,30,"getrennt",NA,2000,3
1,27,"unverheiratet",55935,2014,0
2,24,"unverheiratet",4125,2014,3
3,23,"unverheiratet",68242,2008,1
4,25,"unverheiratet",NA,2014,3
5,25,"unverheiratet",7836,2008,3
6,34,"unverheiratet",24631,2000,3
7,35,"unverheiratet",51375,2000,3
8,53,"unverheiratet",NA,2014,2
9,26,"unverheiratet",97300,2008,3
10,22,"unverheiratet",NA,2000,3
11,29,"unverheiratet",58963,2014,1
12,22,"unverheiratet",9008,2008,4
13,48,"unverheiratet",NA,2000,3
14,24,"unverheiratet",13669,2000,5
15,26,"unverheiratet",10597,2000,2
16,31,"unverheiratet",5521,2014,2
17,61,"unverheiratet",49616,2008,4
18,31,"unverheiratet",NA,2000,1
19,34,"unverheiratet",51480,2008,3
20,68,"unverheiratet",NA,2000,3
21,31,"unverheiratet",NA,2014,3
22,20,"unverheiratet",8441,2008,3
23,61,"unverheiratet",NA,2000,1
24,26,"unverheiratet",49009,2000,3
25,27,"unverheiratet",28186,2014,3
26,26,"unverheiratet",19383,2014,2
27,18,"unverheiratet",NA,2000,4
28,24,"unverheiratet",24363,2008,2
29,74,"unverheiratet",20472,2014,3
30,36,"unverheiratet",15813,2008,3
31,43,"unverheiratet",NA,2008,5
32,47,"unverheiratet",31967,2014,3
33,22,"unverheiratet",92533,2008,4
34,40,"unverheiratet",NA,2000,3
35,40,"unverheiratet",20128,2014,4
36,44,"unverheiratet",3288,2014,3
37,20,"unverheiratet",7897,2000,1
38,22,"unverheiratet",NA,2000,6
39,42,"unverheiratet",23864,2014,1
40,26,"unverheiratet",19411,2008,3
41,72,"unverheiratet",37591,2014,4
42,22,"unverheiratet",4361,2008,4
43,40,"unverheiratet",98276,2014,3
44,44,"unverheiratet",18554,2000,3
45,27,"unverheiratet",NA,2008,2
46,52,"unverheiratet",63380,2000,1
47,20,"unverheiratet",NA,2000,3
48,21,"unverheiratet",NA,2000,2
49,23,"unverheiratet",NA,2014,3
50,20,"unverheiratet",4689,2014,1
51,18,"unverheiratet",2583,2008,3
52,29,"unverheiratet",12017,2000,3
53,23,"unverheiratet",NA,2014,12
54,48,"unverheiratet",NA,2000,3
55,26,"unverheiratet",NA,2008,12
56,32,"unverheiratet",58638,2008,1
57,48,"unverheiratet",NA,2008,3
58,38,"unverheiratet",NA,2014,3
59,35,"unverheiratet",NA,2008,6
60,46,"unverheiratet",56186,2008,5
61,29,"unverheiratet",61722,2008,3
62,39,"unverheiratet",70454,2000,3
63,21,"unverheiratet",1239,2000,3
64,61,"unverheiratet",NA,2014,3
65,19,"unverheiratet",2903,2008,5
66,38,"unverheiratet",NA,2000,3
67,28,"unverheiratet",59435,2014,3
68,30,"unverheiratet",16171,2014,1
69,23,"unverheiratet",NA,2014,1
70,20,"unverheiratet",5349,2008,3
71,20,"unverheiratet",2085,2014,3
72,42,"unverheiratet",18103,2008,3
73,29,"unverheiratet",20730,2000,0
74,30,"unverheiratet",41611,2014,3
75,20,"unverheiratet",NA,2014,2
76,31,"unverheiratet",95317,2008,5
77,70,"unverheiratet",NA,2014,3
78,33,"unverheiratet",71225,2008,3
79,56,"unverheiratet",NA,2014,4
80,26,"unverheiratet",45920,2014,4
81,40,"unverheiratet",11133,2008,3
82,19,"unverheiratet",3844,2008,3
83,29,"unverheiratet",97428,2014,2
84,47,"unverheiratet",41712,2000,3
85,37,"unverheiratet",82809,2014,2
86,24,"unverheiratet",21409,2014,7
87,23,"unverheiratet",47119,2008,2
88,27,"unverheiratet",17333,2014,3
89,26,"unverheiratet",14281,2008,3
90,29,"unverheiratet",29864,2000,2
91,57,"unverheiratet",NA,2000,1
92,27,"unverheiratet",12310,2008,3
93,30,"unverheiratet",18697,2014,5
94,37,"unverheiratet",39125,2000,3
95,46,"unverheiratet",NA,2014,2
96,29,"unverheiratet",10547,2000,3
97,25,"unverheiratet",2851,2014,1
98,48,"unverheiratet",61010,2000,3
99,21,"unverheiratet",12744,2000,2
100,22,"unverheiratet",9183,2000,3
101,66,"geschieden",285,2014,3
102,61,"geschieden",NA,2014,2
103,56,"geschieden",81555,2000,2
104,48,"geschieden",NA,2014,0
105,47,"geschieden",63582,2000,2
106,37,"geschieden",56212,2014,8
107,56,"geschieden",73012,2014,1
108,67,"geschieden",NA,2014,3
109,40,"geschieden",4325,2000,2
110,59,"geschieden",NA,2014,1
111,37,"geschieden",32160,2014,2
112,37,"geschieden",70384,2008,3
113,50,"geschieden",67244,2008,4
114,67,"geschieden",NA,2014,2
115,43,"geschieden",85238,2000,2
116,59,"geschieden",87272,2014,3
117,53,"geschieden",24407,2014,4
118,56,"geschieden",14786,2000,3
119,51,"geschieden",75900,2014,2
120,67,"geschieden",NA,2000,5
121,73,"geschieden",NA,2014,8
122,43,"geschieden",21189,2000,2
123,39,"geschieden",76856,2014,2
124,47,"geschieden",74569,2008,2
125,61,"geschieden",34564,2000,2
126,54,"geschieden",NA,2000,8
127,34,"geschieden",68401,2000,2
128,53,"geschieden",67009,2014,2
129,64,"geschieden",NA,2000,4
130,67,"geschieden",NA,2014,1
131,35,"geschieden",NA,2000,1
132,45,"geschieden",24779,2000,3
133,29,"geschieden",96107,2000,2
134,58,"geschieden",84939,2014,2
135,30,"geschieden",54364,2000,2
136,NA,"geschieden",20240,2000,2
137,62,"geschieden",73092,2008,2
138,74,"geschieden",NA,2014,2
139,60,"geschieden",NA,2008,9
140,35,"geschieden",92424,2000,1
141,47,"geschieden",96167,2000,1
142,33,"geschieden",NA,2000,1
143,51,"geschieden",NA,2008,5
144,76,"geschieden",NA,2014,3
145,46,"geschieden",11924,2000,2
146,48,"geschieden",45426,2014,1
147,38,"geschieden",22205,2000,3
148,62,"geschieden",NA,2008,10
149,45,"geschieden",26929,2000,2
150,50,"geschieden",91272,2014,1
151,39,"geschieden",NA,2008,2
152,38,"geschieden",18598,2008,1
153,47,"geschieden",13463,2008,6
154,53,"geschieden",21894,2014,2
155,28,"geschieden",NA,2008,4
156,65,"geschieden",NA,2014,4
157,56,"geschieden",29510,2014,1
158,65,"geschieden",76790,2014,1
159,49,"geschieden",40443,2008,4
160,58,"geschieden",NA,2008,6
161,51,"geschieden",73869,2014,4
162,49,"geschieden",41002,2000,3
163,66,"geschieden",46970,2014,3
164,29,"geschieden",16694,2014,1
165,36,"geschieden",15817,2000,2
166,46,"geschieden",NA,2008,5
167,35,"geschieden",68732,2000,2
168,37,"geschieden",NA,2008,2
169,40,"geschieden",15686,2014,2
170,54,"geschieden",22219,2000,2
171,37,"geschieden",NA,2000,2
172,63,"geschieden",63471,2014,2
173,71,"geschieden",14345,2014,2
174,45,"geschieden",50529,2000,2
175,44,"geschieden",92262,2000,1
176,49,"geschieden",23296,2000,1
177,38,"geschieden",5716,2014,2
178,66,"geschieden",NA,2000,3
179,76,"geschieden",NA,2000,2
180,44,"geschieden",12668,2000,8
181,45,"geschieden",78533,2000,5
182,34,"geschieden",93129,2014,3
183,57,"geschieden",NA,2008,2
184,44,"geschieden",80107,2014,0
185,66,"geschieden",NA,2000,8
186,53,"geschieden",33487,2014,2
187,41,"geschieden",91411,2014,2
188,31,"geschieden",6062,2014,2
189,32,"geschieden",34488,2000,1
190,43,"geschieden",82275,2000,1
191,41,"geschieden",29736,2008,2
192,59,"geschieden",NA,2014,2
193,62,"geschieden",83931,2008,3
194,33,"geschieden",17873,2000,2
195,41,"geschieden",20651,2008,3
196,45,"geschieden",39722,2000,3
197,55,"geschieden",NA,2014,0
198,31,"geschieden",86721,2000,2
199,39,"geschieden",18146,2000,0
200,27,"geschieden",82401,2000,2
201,66,"verwitwet",NA,2000,0
202,49,"verwitwet",NA,2000,4
203,81,"verwitwet",NA,2000,4
204,47,"verwitwet",NA,2000,4
205,84,"verwitwet",5389,2008,4
206,72,"verwitwet",217,2000,4
207,58,"verwitwet",98787,2014,2
208,53,"verwitwet",37371,2000,1
209,74,"verwitwet",8584,2014,3
210,89,"verwitwet",NA,2014,2
211,42,"verwitwet",63309,2008,4
212,67,"verwitwet",NA,2008,6
213,83,"verwitwet",NA,2014,4
214,75,"verwitwet",NA,2014,4
215,86,"verwitwet",NA,2014,0
216,83,"verwitwet",NA,2014,4
217,58,"verwitwet",NA,2014,4
218,53,"verwitwet",18801,2014,7
219,76,"verwitwet",NA,2014,5
220,79,"verwitwet",NA,2008,9
221,70,"verwitwet",NA,2000,1
222,84,"verwitwet",NA,2014,4
223,75,"verwitwet",10113,2014,3
224,80,"verwitwet",NA,2000,4
225,78,"verwitwet",NA,2000,4
226,70,"verwitwet",NA,2008,7
227,78,"verwitwet",NA,2000,0
228,89,"verwitwet",NA,2008,4
229,84,"verwitwet",NA,2000,4
230,67,"verwitwet",7384,2000,3
231,24,"verwitwet",10432,2000,4
232,80,"verwitwet",NA,2000,8
233,72,"verwitwet",NA,2000,4
234,89,"verwitwet",NA,2014,4
235,83,"verwitwet",NA,2000,4
236,75,"verwitwet",NA,2000,4
237,62,"verwitwet",6723,2000,4
238,83,"verwitwet",NA,2014,4
239,71,"verwitwet",NA,2008,25
